CMDLINE python main.py
MEM 1.597656 1579691017.6610
MEM 3.761719 1579691017.7723
MEM 4.894531 1579691017.8876
MEM 5.523438 1579691018.0039
MEM 5.636719 1579691018.1192
MEM 12.058594 1579691018.2335
MEM 13.488281 1579691018.3458
MEM 13.488281 1579691018.4591
MEM 17.261719 1579691018.5714
MEM 21.074219 1579691018.6928
MEM 23.324219 1579691018.8221
MEM 28.035156 1579691018.9484
MEM 28.042969 1579691019.0657
MEM 28.179688 1579691019.1821
MEM 28.242188 1579691019.2984
MEM 28.339844 1579691019.4147
MEM 28.507812 1579691019.5300
MEM 28.632812 1579691019.6423
MEM 28.792969 1579691019.7536
MEM 28.906250 1579691019.8659
MEM 29.105469 1579691019.9802
MEM 29.230469 1579691020.0955
MEM 29.460938 1579691020.2118
MEM 29.738281 1579691020.3271
MEM 30.062500 1579691020.4434
MEM 30.226562 1579691020.5617
MEM 30.562500 1579691020.6750
MEM 30.875000 1579691020.7893
MEM 31.187500 1579691020.9066
MEM 31.441406 1579691021.0179
MEM 31.812500 1579691021.1322
